time,type,x,y,voltage,angle,pos,
1.6500000000000001,robot,3.218152745832887,2.056310577797699,7.984501262209799,60.82133363434878,4.0337891767838725,
1.7000000000000002,path,3.2322135328360355,2.0205966131876583,8.157030034030944,62.90647308024677,4.049999999999999,
1.7000000000000002,robot,3.287248283204001,2.189186238362179,8.157030034030944,62.52550256794137,4.183556110567836,
1.75,path,3.299002656650739,2.1549032410432654,8.180336655634624,64.19117632998321,4.199999999999999,
1.75,robot,3.352884973716497,2.325240970901419,8.180336655634624,64.2460105001475,4.334615917888504,
1.8,path,3.3629114360341283,2.2906047428722385,8.074355923567845,65.3525091117218,4.35,
1.8,robot,3.415010929774818,2.463658024631093,8.074355923567845,65.82794714389163,4.486335775452911,
1.85,path,3.4241979851108617,2.4275110465452094,7.902370167127183,66.39685157054593,4.5,
1.85,robot,3.4739599830325445,2.603356800218369,7.902370167127183,67.12158860060384,4.6379627479234005,
1.9000000000000001,path,3.4831139326793257,2.565454561922747,7.73967292007829,67.33030970296119,4.65,
1.9000000000000001,robot,3.530431662404795,2.743354714687342,7.73967292007829,68.03207642061729,4.788921240982864,
1.9500000000000002,path,3.5399034865949113,2.7042873920422736,7.643823614131962,68.15859149233617,4.800000000000001,
1.9500000000000002,robot,3.5853032162351077,2.8830310433395963,7.643823614131962,68.5527219341941,4.938989106315605,
2.0,path,3.594803065102405,2.843878700055124,7.6370370808579455,68.88692722306611,4.950000000000001,
2.0,robot,3.639374091660591,3.022219615688623,7.6370370808579455,68.77024113596748,5.088311302394548,
2.0500000000000003,path,3.6480413542135754,2.9841122753113356,7.704817472963677,69.52002211216919,5.100000000000001,
2.0500000000000003,robot,3.6931484921364914,3.1611408796119242,7.704817472963677,68.8393042756705,5.23727708274893,
2.1,path,3.699839677192654,3.12488431051512,7.808239437525467,70.06203168126348,5.250000000000002,
2.1,robot,3.7467241515520877,3.300233899734998,7.808239437525467,68.93438123410981,5.38633150076052,
2.15,path,3.750412588749268,3.266101386630017,7.902797636366477,70.51655242202033,5.400000000000002,
2.15,robot,3.7998155982591224,3.4399581746409975,7.902797636366477,69.19456265124397,5.5358024836015165,
2.2,path,3.799968626620441,3.407678647674824,7.955699352266899,70.88662209056206,5.5500000000000025,
2.2,robot,3.8519076213340213,3.5806235451653734,7.955699352266899,69.67910627177419,5.6858035680402494,
